text,category,label,severity,explanation
"Info pola kakek zeus malam ini dong ngab, dari sore mesinnya nyedot mulu udah rungkad lima ratus ribu belum dapet scatter sama sekali...",Cybercrime_JudiOnline,1,High,寻找老虎机赌博规律（pola zeus），并使用黑话“rungkad（输光）”和“scatter（免费旋转）”
"Bagi link situs slot yang lagi gacor dong, lagi butuh wd cepet nih buat bayar cicilan motor besok pagi",Cybercrime_JudiOnline,1,High,索要容易赢钱的赌博网站链接（slot gacor），并提及提现（WD/Withdraw）
"Ada yang buka jasa joki maxwin gak di sini, gue ada modal cepek nih siapa tau bisa jadi naga trus profitnya kita bagi dua adil",Cybercrime_JudiOnline,1,High,寻找代赌服务（joki maxwin），期望小本金赢大钱（jadi naga）
"Bangsat emang main mahjong ways dua, udah beli spin puluhan kali tetep aja zonk perkalian petir merahnya gak mau turun dari tadi",Cybercrime_JudiOnline,1,Medium,抱怨特定赌博游戏（Mahjong Ways）不掉落高倍率奖励（petir merah）
"Rtp live di situs itu mah bohong semua cuma pancingan admin agus biar kita depo terus, aslinya mah di-setting rungkad buat member baru",Cybercrime_JudiOnline,1,Medium,揭露赌博网站的返还率（RTP）是后台客服（admin agus）操纵的骗局
"Gue udah terlanjur pinjem duit temen buat depo slot hari ini, niatnya mau balikin kerugian yang kemaren eh malah makin dalem lobangnya",Cybercrime_JudiOnline,1,High,因赌博借钱并深陷债务，反映了在线赌博对个人的严重危害
"Situs judol sekarang pada pinter ya, diblokir kominfo langsung ganti domain baru pake link alternatif tiap jam, pantesan player gak pernah habis",Cybercrime_JudiOnline,1,Medium,讨论赌博网站如何通过频繁更换域名来规避政府封锁
"Nyari bandar togel macau atau hongkong yang aman dan cairnya cepet, kemaren pas tembus empat angka malah akun gue diblokir sama bandarnya",Cybercrime_JudiOnline,1,High,寻找地下彩票（Togel）庄家，并控诉之前中奖被黑平台封号
"Tolong info dong pinjol ilegal yang gampang cair tanpa verifikasi wajah yang ribet, niatnya emang mau gue galbay aja buat modal usaha",Cybercrime_PinjolIlegal,1,High,寻找容易放款的非法网贷，并明确表示打算恶意逃废债（galbay/gagal bayar）
"Gue buka jasa rawat akun akulaku sama shopeepaylater nih, limit puluhan juta bisa dicairin jadi uang tunai lewat gestun, minat langsung dm",Cybercrime_PinjolIlegal,1,High,提供养号骗贷（rawat akun）和非法套现（gestun）的服务
"DC lapangan dari pinjol ilegal beneran berani dateng ke rumah gak sih, gue udah galbay tiga aplikasi total tagihan lima juta dan sekarang diancam mulu di wa",Cybercrime_PinjolIlegal,1,High,询问非法网贷的线下催收（DC lapangan）是否真的会上门，承认自己恶意欠款
"Awas hati-hati sama apk pinjaman kilat yang logonya biru, mereka itu ilegal dan suka sebar data ktp kita ke semua kontak hp kalau telat bayar sehari aja",Cybercrime_PinjolIlegal,1,High,警告非法网贷会爆通讯录（sebar data），暴露了非法网贷窃取隐私的犯罪行为
"Ada yang jual data fake ktp sama kontak darurat gak buat amunisi nuyul pinjol ilegal, lagi butuh suntikan dana cepet nih tapi gak mau pake data asli",Cybercrime_PinjolIlegal,1,High,求购假身份证和假联系人数据，用于大规模欺诈性薅网贷羊毛（nuyul pinjol）
"Jasa hapus data pinjol yang bertebaran di fb itu aslinya penipuan juga ya, kemaren gue transfer bayar jasanya eh malah wa gue diblokir sama dia",Cybercrime_PinjolIlegal,1,High,揭露社交媒体上“代删网贷数据”的服务本身也是一种连环诈骗
"Sumpah depresi banget diteror sama dc pinjol tiap jam, foto gue diedit disandingin sama cewek telanjang trus dikirim ke grup keluarga besar",Cybercrime_PinjolIlegal,1,High,受害者控诉非法催收将个人照片与色情图片合成并发送给家属，属于严重的网络暴力与勒索
"Hati-hati kalau dapet chat wa dari nomor gak dikenal ngirim file apk judulnya undangan pernikahan atau resi paket, itu virus phising buat nguras saldo m-banking",Cybercrime_Penipuan,1,High,警告一种极具破坏性的木马病毒诈骗（APK undangan/resi），可盗取银行存款
"Loker freelance kerjain tugas like subscribe youtube di telegram itu scampage semua, awalnya dibayar kecil tapi pas disuruh top up tugas vip saldo lu bakal ditahan",Cybercrime_Penipuan,1,High,揭露虚假兼职刷单诈骗（loker bodong/tugas telegram），诱骗受害者充值（top up）
"Gue butuh jasa rekber yang aman buat transaksi akun game gede, jangan sampe ketemu ripper lagi kaya bulan kemaren duit melayang akun raib",Cybercrime_Penipuan,1,High,寻找担保交易（rekber），并提到之前遇到骗子（ripper）导致钱号两空的经历
"Hati-hati modus penipuan segitiga pas jual beli hp bekas di marketplace, penipu ngaku jadi pembeli ke kita tapi ngaku jadi penjual ke orang lain buat nipu transferan",Cybercrime_Penipuan,1,High,科普一种复杂的二手交易网络欺诈手法（三角诈骗/penipuan segitiga）
"Ada yang jual database nasabah prioritas bca atau mandiri gak, gue butuh ratusan ribu nomor aktif buat disebar link undian berhadiah palsu minggu ini",Cybercrime_Penipuan,1,High,在黑市求购高价值银行客户的隐私数据库，用于群发钓鱼诈骗短信
