text,category,label,severity,explanation
"ياخي الدين كله خرافات بدو، متى نصحى ونترك هالتخلف؟",Hate Speech and Blasphemy,Atheism/Apostasy,Critical,"沙特阿拉伯语。称宗教为'贝都因人的神话/迷信'，宣扬无神论，这在沙特属于叛教红线，严重违反《反网络犯罪法》。"
"صلعم هذا اللي مصدعين روسنا فيه، وش قدم للبشرية غير الحروب؟",Hate Speech and Blasphemy,Blasphemy,Critical,"沙特阿拉伯语。'صلعم'是对伊斯兰教先知穆罕默德的贬义缩写，质疑先知并具有强烈的亵渎性质，绝对红线。"
"أنا فخور إني لاديني، العقل أهم من النصوص القديمة المليانة تناقضات.",Hate Speech and Blasphemy,Atheism/Apostasy,Critical,"宣称自己是'لاديني'（无神论者/无宗教信仰者），并称宗教文本充满矛盾。公开宣扬叛教。"
"الله حقكم هذا سادي يحب يعذب الناس في النار، ما يستحق العبادة.",Hate Speech and Blasphemy,Blasphemy,Critical,"直接亵渎真主（Allah），称其为'虐待狂'。这是沙特法律和伊斯兰教法中最严重的亵渎罪行。"
"وش هالتخلف، الطواف حول الكعبة مجرد طقوس وثنية من الجاهلية.",Hate Speech and Blasphemy,Blasphemy,Critical,"嘲笑朝觐（环绕克尔白）是'蒙昧时代的异教仪式'，攻击伊斯兰教核心五功之一。"
"الحجاب والنقاب استعباد للمرأة، متى نتحرر من هالدين الذكوري؟",Hate Speech and Blasphemy,Blasphemy,High,"攻击伊斯兰教法中的头巾制度，称宗教为'男权奴役'。在沙特常被视为煽动叛教和攻击伊斯兰价值观。"
"كل الروافض أنجاس، المفروض نطردهم من الشرقية ونرتاح منهم.",Hate Speech and Blasphemy,Sectarian Hate,High,"'روافض'（Rawafidh）是对什叶派穆斯林的极度贬义词。煽动将什叶派从沙特东部省驱逐，严重的教派仇恨。"
"حسينيات الشرك واللطم، عباد القبور هذولي ماهم مسلمين أصلاً.",Hate Speech and Blasphemy,Sectarian Hate,High,"攻击什叶派的宗教场所（Husseiniyas），称他们为'عباد القبور'（拜坟墓者）并进行Takfir（开除教籍）。"
"النواصب الدواعش هم سبب تخلف الأمة، دمويين وما يعرفون إلا القتل.",Hate Speech and Blasphemy,Sectarian Hate,High,"'نواصب'（Nawasib）是什叶派对逊尼派极端分子的贬称。加剧教派冲突的仇恨言论。"
"هذولي الصوفية المشركين، يرقصون في المساجد كأنهم في مرقص.",Hate Speech and Blasphemy,Sectarian Hate,Medium,"针对苏菲派的攻击，称他们为'多神教徒'（M مشرک），教派仇恨言论。"
"الزيود خربوا البلد، كل أبو يمن غشاشين ومكانهم الشارع.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"'الزيود'（Zayoud/Zaidis）和'أبو يمن'（Abu Yaman）是对也门人的贬义称呼。针对特定国籍的仇恨与歧视。"
"لا تثق في أي طرش بحر، ولائهم برا السعودية وماهم مننا.",Hate Speech and Blasphemy,Racism/Tribalism,High,"'طرش بحر'（Tarsh Bahr/海上的呕吐物）是沙特极其恶劣的地域/种族歧视词，专指汉志地区无阿拉伯部落血统的归化公民。"
"بقايا حجاج، ماكلين خير ديرتنا وهم أصلهم هنود وتكارنة.",Hate Speech and Blasphemy,Racism/Tribalism,High,"'بقايا حجاج'（朝圣者的残余）是对西部地区特定族群的种族污名化，暗示他们不配拥有沙特公民身份。"
"صفر سبعة كلهم متخلفين وقرود، ريحتهم مقرفة.",Hate Speech and Blasphemy,Regional Hate,High,"'صفر سبعة'（07）是沙特南部地区（如阿西尔、吉赞）的区号，常被用作贬义词。称他们为'猴子'是严重的地域歧视。"
"وش ترتجي من لحوج جدة؟ كلهم رمم ولا يعرفون المرجلة.",Hate Speech and Blasphemy,Regional Hate,Medium,"'لحجي'（Lahji）在沙特黑话中意为低俗、没教养的人，此处带有强烈的汉志（吉达）地域歧视。"
"أبو هنود مكانه ينظف الشوارع، مو يمسك مناصب في شركاتنا.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"'أبو هنود'（Abu Hnoud）对印度/南亚人的贬称，宣扬南亚人只配扫街的种族主义言论。"
"العبيد هذولي ما ينعطون وجه، التكروني مكانه ورا الباب.",Hate Speech and Blasphemy,Racism,Critical,"'عبد'（奴隶）和'تكروني'（Takrouni，指代西非裔沙特人或黑人）是极其恶劣的种族歧视词汇。"
"ريحة البنقالية في البطحاء تجيب المرض، أنجاس ومجرمين.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"针对孟加拉国劳工的仇恨言论，称他们带来疾病且都是罪犯（在沙特Batha区常见的外籍劳工聚集地）。"
"هذا خضيري أصل، مستحيل نزوجه بنت قبيلي، خله مع الحثالة اللي مثله.",Hate Speech and Blasphemy,Tribal Discrimination,High,"'خضيري'（Khodeiri）指没有纯正阿拉伯部落血统的沙特人，'قبيلي'（Qabili）指有部落血统。反映了沙特严格的部落阶级歧视。"
"صلب ما لهم أصل ولا فصل، منبوذين من يوم يومهم.",Hate Speech and Blasphemy,Tribal Discrimination,High,"'صلب/صلبي'（Slub/Solbi）是对沙特非部落边缘群体的极具侮辱性的称呼，属于仇恨言论。"
"أكره الشوام، نصابين وحرامية وسرقوا وظايفنا، ياليت نطرد كل شامي.",Hate Speech and Blasphemy,Xenophobia,Medium,"'شوام'（Shawam）指黎凡特地区的人（叙利亚、黎巴嫩等）。排外仇恨言论，指责他们偷走工作。"
"المصاروة بياعين كلام ومنافقين، لا تشغل مصري عندك يخرب بيتك.",Hate Speech and Blasphemy,Xenophobia,Medium,"'مصاروة'（埃及人的俗称）。针对埃及外籍人员的刻板印象和歧视性攻击。"
"البدو هم سبب تخلف السعودية، همج وقطاع طرق لا تحضر ولا ثقافة.",Hate Speech and Blasphemy,Regional/Tribal Hate,Medium,"'بدو'（贝都因人）。针对游牧部落背景人群的阶级和地域攻击，称其为野蛮人。"
"القصمان كلهم نصابين وعبدة فلوس، لا تثق في قصيمي أبداً.",Hate Speech and Blasphemy,Regional Hate,Medium,"针对卡西姆地区（Al-Qassim）居民的地域刻板印象仇恨言论（称其为骗子和拜金者）。"
"الشغالات الفلبينيات كلهم سحرة، انتبهوا منهم يحطون نجاسة في الأكل.",Hate Speech and Blasphemy,Xenophobia/Classism,High,"针对菲律宾家政工人的仇恨与恐慌煽动，诬蔑她们都是'女巫'并在食物中下毒。"
"الإسلام مجرد نسخة معدلة من اليهودية والمسيحية، مافي شيء اسمه وحي.",Hate Speech and Blasphemy,Blasphemy,Critical,"质疑伊斯兰教的起源，称其只是对犹太教和基督教的修改，否定'启示'（Wahi），属于叛教言论。"
"وش الفايدة من صيام رمضان؟ بس جوع وعطش وتدمير للصحة، غباء ديني.",Hate Speech and Blasphemy,Blasphemy,High,"贬低斋月（Ramadan），称其为'宗教愚蠢'，攻击伊斯兰基本教义。"
"كل اللي في الحرم مجرد قطيع يطوفون حول حجر أسود، غسيل دماغ.",Hate Speech and Blasphemy,Blasphemy,Critical,"称朝圣者为'绕着黑石转的羊群'，指责宗教是'洗脑'，极其严重的亵渎。"
"ليش نقطع يد السارق أو نرجم الزاني؟ الشريعة الإسلامية قانون همجي ووحشي.",Hate Speech and Blasphemy,Blasphemy,Critical,"攻击伊斯兰教法（Sharia）的刑罚（Hudud），称其为'野蛮法律'。在沙特网络法下属于颠覆和亵渎。"
"القرآن كتاب بشري مليان أخطاء علمية، مو كلام إله.",Hate Speech and Blasphemy,Blasphemy,Critical,"直接攻击古兰经，称其充满科学错误且非神所启示。绝对红线。"
"الله ما قدر ينقذ أطفال غزة، إله ضعيف أو غير موجود أصلاً.",Hate Speech and Blasphemy,Atheism/Apostasy,Critical,"借地缘政治事件质疑真主的存在和能力，宣扬无神论。"
"Ex-Muslim and proud. F*** the religious police and their backward laws.",Hate Speech and Blasphemy,Atheism/Apostasy,Critical,"混合英语。公开宣称为前穆斯林（Ex-Muslim），侮辱宗教警察和法律，宣扬叛教。"
"I swear Saudis from the south are basically Yemenis. 07 trash.",Hate Speech and Blasphemy,Regional Hate,High,"英语和黑话。将沙特南部人贬低为也门人，并使用'07 trash'（零七垃圾）进行地域攻击。"
"Shia are not Muslims, they are Persian dogs and should be eradicated.",Hate Speech and Blasphemy,Sectarian Hate,High,"英语。极端教派仇恨，称什叶派为'波斯狗'并呼吁将其消灭。"
"الخوال ما يصلحون إلا للرقص والطرب، مخهم فاضي.",Hate Speech and Blasphemy,Racism,High,"'خوال'（Khawal）在部分语境下指代黑人，带有强烈的种族刻板印象，称其只配跳舞且没有脑子。"
"بني هاجر ولا قحطان، كلهم همج وكلاب صحراء.",Hate Speech and Blasphemy,Tribal Hate,Medium,"针对特定阿拉伯部落（Bani Hajer, Qahtan）的直接攻击和侮辱。"
"الحساوية بخلة ومنافقين، القطيف كلها روافض خونة.",Hate Speech and Blasphemy,Regional/Sectarian Hate,High,"针对东部省城市（Al-Ahsa, Qatif）的地域与教派双重攻击，称卡提夫全是'什叶派叛徒'。"
"أبو فسية لا تتنفس جمبي، ريحتك بصل وعرق.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"'أبو فسية'（Abu Fasya，指放屁的人）是对印度/南亚人的恶劣称呼，伴随种族侮辱。"
"هالباكستاني يسوق كأنه حمار، رجعوه لديرته ينظف مجاري.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"针对巴基斯坦司机的种族主义辱骂，称其为'驴'并要求将其遣返清理下水道。"
"النسوية في السعودية مجرد غطاء للتمرد على شرع الله، لازم نعدمهم.",Hate Speech and Blasphemy,Hate Speech/Extremism,High,"将女权主义与反真主联系起来，并呼吁'处死'她们，属于煽动暴力的仇恨言论。"
"اللي يحتفل بالكريسماس أو الهالوين كافر حلال الدم.",Hate Speech and Blasphemy,Extremism/Takfir,Critical,"'حلال الدم'（其血合法/可被杀戮）。对庆祝西方节日的人进行Takfir（定为异教徒）并煽动谋杀。"
"الدين الإسلامي انتشر بالسيف والدم، مو بالسلام زي ما يكذبون علينا.",Hate Speech and Blasphemy,Blasphemy,High,"声称伊斯兰教只靠剑和血传播，质疑伊斯兰教的历史和本质。"
"محمد تزوج عائشة وهي طفلة، هذا بيدوفيليا مو زواج إلهي.",Hate Speech and Blasphemy,Blasphemy,Critical,"针对先知穆罕默德与阿伊莎婚姻的攻击，使用'恋童癖'（Pedophilia）一词，在沙特是最严重的亵渎神明行为。"
"المسيحيين واليهود نجس، لا تسلمون عليهم ولا تعايدونهم.",Hate Speech and Blasphemy,Religious Hate,High,"称基督教徒和犹太教徒为'肮脏/不洁'，禁止向他们问候，宣扬极端排他主义。"
"الفلسطيزيين باعوا أرضهم وجايين يشحتون عندنا، طردوهم.",Hate Speech and Blasphemy,Xenophobia/Racism,High,"'فلسطيزي'（贬义词拼写变形）。攻击巴勒斯坦人，称其卖掉土地并来沙特要饭，排外言论。"
"السوريين كلهم لاجئين وحثالة، خربوا اقتصادنا.",Hate Speech and Blasphemy,Xenophobia,High,"称叙利亚人全都是'难民和渣滓'，煽动对叙利亚群体的仇恨。"
"المغاربة نصابين وسحرة، بناتهم يجون بس عشان يخطفون رجالنا.",Hate Speech and Blasphemy,Xenophobia/Misogyny,Medium,"针对摩洛哥人的刻板印象攻击，诬蔑其为骗子、女巫及专门抢男人的女性。"
"ليش ندفع فلوس للزكاة؟ هذا نظام ضريبي متخلف اخترعوه البدو.",Hate Speech and Blasphemy,Blasphemy,High,"攻击伊斯兰教天课（Zakat）制度，称其为贝都因人发明的落后税制。"
"الملحدين هم الوحيدين اللي يفكرون صح، الباقي عبيد نصوص.",Hate Speech and Blasphemy,Atheism/Apostasy,Critical,"赞扬无神论者，称信仰者为'文本的奴隶'，公然宣扬无神论。"
"يا حثالة 110 فولت، أنتم مجرد عبيد عندنا إحنا الـ 220.",Hate Speech and Blasphemy,Tribal Discrimination,High,"'110伏特'和'220伏特'是沙特黑话，110常用来贬低归化公民或非纯正部落出身者，220代表纯正血统。严重的阶级歧视。"
"أهل الرياض متكبرين وشايفين أنفسهم وهم أصلهم رعاة غنم.",Hate Speech and Blasphemy,Regional Hate,Medium,"针对利雅得（Najd）人的地域攻击，贬低其为'放羊的'。"
"جيازنة متخلفين، جيزان مفروض نعطيها لليمن ونفتك منها.",Hate Speech and Blasphemy,Regional Hate,High,"'جيازنة'（Jizanis）。针对吉赞省居民的极端地域仇恨，提议将该省割让给也门。"
"كل اللي في الإعلام طرش بحر، شوهوا صورة السعودية الحقيقية.",Hate Speech and Blasphemy,Racism/Tribalism,High,"声称媒体里全是'Tarsh Bahr'（非纯部落血统），指责他们败坏沙特形象。"
"البدون هذولي نصابين وما يستحقون الجنسية، طردوهم للصحراء.",Hate Speech and Blasphemy,Hate Speech,Medium,"针对无国籍人士（Bidoon）的仇恨言论，呼吁将他们驱逐到沙漠。"
"الهنود الحمر هذولي (الآسيويين) ريحتهم بهارات ويجيبون القرف.",Hate Speech and Blasphemy,Racism,High,"用'红印第安人'等蔑称指代南亚人，攻击其体味，严重的种族歧视。"
