text,category,label,severity,explanation
"سهرة الليلة في شقة بالملقا، بنات مغربيات وسوريات، الدفع كاش قبل الدخول.",Obscenity and Immoral Behavior,Prostitution/Escort,Critical,"沙特阿拉伯语。公然的色情与应召服务广告：‘今晚在 Al-Malqa 的公寓有派对，有摩洛哥和叙利亚女孩，入场前付现金’。"
"متوفر مساج استرخائي مع هابي إندينق في فندق شمال الرياض، السرية تامة.",Obscenity and Immoral Behavior,Prostitution/Escort,Critical,"利用非法按摩掩护的色情服务：‘利雅得北部酒店提供带 happy ending 的放松按摩，绝对保密’。"
"اللي يبي يونس نفسه بالويكند، شاليهات الثمامة مليانة بنات فري، تواصل خاص للرقم.",Obscenity and Immoral Behavior,Improper Gender Mixing/Prostitution,Critical,"招募非法男女混杂派对：‘想在周末找乐子的人，Thumamah 的小木屋里全是开放的女孩，私信获取号码’。"
"مطلوب بنت ليل تطلع معاي شاليه في درة العروس، الحساب 3000 ريال كاش.",Obscenity and Immoral Behavior,Prostitution Solicitation,Critical,"直接的嫖娼招募：‘需要一个夜店女孩（应召女）跟我去 Durrat Al-Arus 的小木屋，现金 3000 里亚尔’。"
"عندي بنات صغار للوناسة، توصيل للفنادق والشقق المفروشة في جدة، الدفع بتكوين أو كاش.",Obscenity and Immoral Behavior,Human Trafficking/Pimping,Critical,"极其严重的淫媒/老鸨行为，甚至接受加密货币：‘我有年轻女孩供娱乐，送往吉达的酒店和公寓，比特币或现金支付’。"
"رقص برايفت وتنزيع بالكامل على الكام، التحويل رصيد سوا 500 ريال قبل البث.",Obscenity and Immoral Behavior,Pornography/Cam Girl,Critical,"网络裸聊与色情表演兜售：‘私密舞蹈和全裸摄像头，开播前转账 500 里亚尔 Sawa 充值卡’。"
"قروب واتساب لسهرات الرياض الماجنة، اللي يبي الرابط يرسل لي إثبات إنه كاش.",Obscenity and Immoral Behavior,Pornography/Prostitution,Critical,"传播非法色情群组：‘利雅得淫乱派对的 WhatsApp 群，想要链接的发证明你有钱’。"
"مسيار سري حق وناسة بدون شروط ولا ولي، الشقة علي وأنتي عليك الدلع.",Obscenity and Immoral Behavior,Immoral Behavior/Prostitution Cover,High,"利用“秘密婚姻（Misyar）”作为卖淫或非法同居的幌子：‘为了找乐子的秘密 Misyar，没有条件也不需要监护人，公寓我出，你负责撒娇’。"
"للجادين فقط، متوفر قحاب من جنسيات مختلفة، توصيل سريع لحي النرجس.",Obscenity and Immoral Behavior,Prostitution/Escort,Critical,"使用了极度粗俗的卖淫词汇（قحاب/妓女）：‘非诚勿扰，有不同国籍的妓女，快速送到 Al-Narjis 区’。"
"مطلقة متحررة أستقبل في شقتي بالدمام، الدفع مقدم وما أستقبل مبزرة.",Obscenity and Immoral Behavior,Prostitution/Escort,Critical,"利用“开放的离婚女性（مطلقة متحررة）”黑话进行应召广告：‘我是开放的离婚女人，在达曼的公寓接客，提前付款，不接待小屁孩’。"
"تجمع للمثليين (Gays) في كافيه بشارع التحلية اليوم، خلونا نثبت وجودنا يا عيال.",Obscenity and Immoral Behavior,LGBTQ+ Promotion,Critical,"在沙特严禁的同性恋集会呼吁：‘今天在 Tahlia 街的咖啡馆有同性恋聚会，让我们证明我们的存在’。"
"أنا بوية وأدور لي خوية (تيكن) في جامعة نورة، اللي جادة تجي خاص.",Obscenity and Immoral Behavior,LGBTQ+ Solicitation,Critical,"女同性恋（Tomboy/بوية）的交友招募：‘我是 T 寻找一个伴侣（Taken），在 Nourah 大学，认真的私信’。"
