text,category,label,severity,explanation
"Anyone got the full video of the couple at East Coast Park last night? The one doing in the tent. I heard it's trending on Telegram. PM me for trade.",Obscenity_Distribution,1,High,色情视频传播。寻找并诱导传播在公共场所拍摄的不雅视频，属于严重的淫秽内容流转。
"那个在 TikTok 上装清纯的 XMM，其实私底下在 Telegram 卖自己的原味内裤和裸照包。有人要组团买吗？一个人才 10 块钱。",Obscenity_Solicitation,1,High,纯华语。色情内容贩卖。煽动组团购买未成年或年轻女性的不雅照及违禁物品。
"Mamat ni ada share link video budak sekolah kat group 'Budak Nakal SG'. Video tu memang rabak, nampak semua. Siapa nak join group tu PM tepi, aku bagi link.",Obscenity_ChildProtection,1,High,纯马来语。涉及未成年的色情内容。在非法群组传播学生不雅视频，属于极高风险的违规行为。
"இந்த நடிகையின் ஆபாச புகைப்படங்கள் என்னிடம் உள்ளன. பார்க்க விரும்புபவர்கள் எனக்கு மெசேஜ் செய்யுங்கள்.",Obscenity_Distribution,1,High,纯泰米尔语。大意：“我有这个女演员的淫秽照片。想看的人给我发信息。”传播公众人物的不雅淫秽图片。
"Looking for 'durian' tonight at Geylang Lor 18. Anyone knows which house got fresh supply? Prefer Vietnamese or Thai. Budget $150 for 1hr.",Obscenity_Solicitation,1,High,地下色情交易黑话。使用“durian（榴莲）”作为色情交易暗语，寻找特定国籍的非法性服务。
"裕廊西大牌 402 的那个美容院，其实是做‘小活’的。安娣功夫很好，还会给特别服务。记得找那个叫 Wendy 的，穿得很露骨那个。",Obscenity_Solicitation,1,High,纯华语。色情场所推介。暗示合法场所背后的非法色情服务（“小活”、“特别服务”等黑话）。
"Sesiapa ada rakaman hidden cam kat tandas mall Orchard? Aku dengar ada link baru kat website 'Geylang Boleh'. Share la kat sini, jangan kiasu sangat.",Obscenity_PrivacyViolation,1,High,纯马来语。非法偷拍资源。寻索商场厕所偷拍视频，涉及严重的隐私侵犯与淫秽内容传播。
"This SG influencer OnlyFans content leaked! I got the whole folder with 50 videos. No censor one. Pay me $5 PayNow and I'll add you to the private channel.",Obscenity_Distribution,1,High,付费色情内容盗版传播。通过非法手段获取他人付费色情内容并进行二次牟利传播。
"அந்த ஹோட்டல் அறையில் நடந்த ரகசிய வீடியோ என்னிடம் உள்ளது. பணம் கொடுத்தால் தருகிறேன்.",Obscenity_Solicitation,1,High,纯泰米尔语。大意：“我有那个酒店房间里的秘密视频。给钱我就给。”利用非法偷拍的视频进行勒索或贩卖。
"Any 'lobang' for student mass massage? I heard some HDB flats at Tampines area provide this for 'uncles'. Must be younger than 20yo.",Obscenity_ChildSafety,1,High,涉及未成年的色情诱导。寻找针对年轻学生的色情按摩服务，触及法律红线。
